Id,Price
725,156725.04113768257
15856,235684.72350696186
5480,238754.3909670895
15664,311222.83496740763
14275,147889.8844931705
7633,227807.15765549953
13329,163273.43104552658
5502,229413.13404660774
4220,296319.7123312815
11538,209308.46830971318
15975,267771.8038092972
3310,218137.41333268996
9286,148578.37119886812
11260,187723.94456611905
5214,102231.77762384932
11307,179776.86438500925
13543,364656.7369507703
615,187613.16785941902
3495,231430.94401658478
2321,235944.28451726024
12046,191230.4942879455
16688,148594.89139630244
12694,235655.98893969078
783,155240.3129911281
8968,171027.0419771456
13454,176839.64924617085
12190,257155.60455076888
11160,111742.04955277241
10291,205959.13663160437
891,291565.38435266784
2982,180217.82131562952
3818,271581.7312768746
2449,193869.03887942873
8317,164808.0038462377
4922,182225.6503969175
1257,243209.17075450596
9348,214355.61693784088
4176,172518.50721010074
10704,157534.4862728533
6624,113660.03095099823
5428,206042.0344068009
12749,176314.71676135424
8994,197697.92072061458
11513,145312.86398714318
3047,191563.82510899683
9519,222602.2826665221
12309,248488.28830229168
14081,272313.8314874716
8334,253258.20238121683
6343,184070.12607160246
14788,132296.99198138245
15748,405379.71906825656
153,242125.23935117456
14149,184044.6400411627
269,195134.68230935652
5452,135679.551602408
721,160101.12949292708
5079,316376.15220638446
2831,124928.70215695178
10614,112170.98416720257
10131,274059.0122883549
9996,313364.32731222187
3061,203316.13970496642
11733,305999.4880042319
3726,255291.2807239428
10929,216309.2654614605
9011,246904.80872379686
16182,260364.59008153284
4976,177025.45034107115
9897,251362.76922897875
1872,150665.31684845465
9205,340473.16120035405
5403,381551.8140574326
14074,199096.62914776997
6268,156966.98547900096
14232,163800.1801719106
8532,221276.21670516543
7034,343328.00781029655
6553,433633.58571717597
3133,174817.00117853514
8596,198541.7386803898
12389,255126.7841837857
14462,177844.1640942619
8860,367386.32349965314
8377,316694.50877072255
6367,329451.63696234464
6917,249351.56667684054
4216,202581.2460640423
5806,164340.3845669859
5438,186226.4451263362
6632,204534.22935464236
2650,151068.44499490486
5396,209729.361575587
4044,150283.52570460792
1345,254569.3129695874
856,173708.2788790228
12791,277696.042130316
12499,212818.09522578013
12249,128072.46400646087
14641,139524.7065074802
1919,161791.26513815322
7848,200117.3646358096
10749,182908.56718185593
15554,191730.02046972656
15834,198433.13856807753
1355,136063.93275316057
15451,173662.88974389742
12401,213574.82417243975
10290,169395.59171065514
9462,115204.5433104138
